configuration,signal_pp,ror_pct,r_obs_log,abs_log_signal,equiv_one_sided_pct_change,interpretation
TOPCon-M2,0.727,0.733,0.007303266110120011,0.007303266110120011,0.7330000000000059,"If |d_control| + |eta| is bounded strictly below abs_log_signal (plus separately handled sampling uncertainty), the sign of d_field is preserved under the stated log-ratio model."
SHJ-M1,-3.386,-3.423,-0.03482956835688546,0.03482956835688546,3.544322147095058,"If |d_control| + |eta| is bounded strictly below abs_log_signal (plus separately handled sampling uncertainty), the sign of d_field is preserved under the stated log-ratio model."
TOPCon-M3,-0.661,-0.676,-0.006782952296832335,0.006782952296832335,0.6806008618259529,"If |d_control| + |eta| is bounded strictly below abs_log_signal (plus separately handled sampling uncertainty), the sign of d_field is preserved under the stated log-ratio model."
PERC-M-M4,0.04,0.037,0.00036993156687964933,0.00036993156687964933,0.036999999999998145,"If |d_control| + |eta| is bounded strictly below abs_log_signal (plus separately handled sampling uncertainty), the sign of d_field is preserved under the stated log-ratio model."
PERC-M3,-0.409,-0.408,-0.004088345908606545,0.004088345908606545,0.4096714595549944,"If |d_control| + |eta| is bounded strictly below abs_log_signal (plus separately handled sampling uncertainty), the sign of d_field is preserved under the stated log-ratio model."
PERC-C-M4,-0.89,-0.896,-0.00900038219729908,0.00900038219729908,0.9041007426541903,"If |d_control| + |eta| is bounded strictly below abs_log_signal (plus separately handled sampling uncertainty), the sign of d_field is preserved under the stated log-ratio model."
SHJ-M5,-3.003,-3.016,-0.030624169543809122,0.030624169543809122,3.1097913057823945,"If |d_control| + |eta| is bounded strictly below abs_log_signal (plus separately handled sampling uncertainty), the sign of d_field is preserved under the stated log-ratio model."
